id,wbs_no,level,task_name,assignee,start_date,end_date,progress,status,priority,dependency,milestone,notes
id_001,1,0,要件定義,田中,2026-04-01,2026-04-18,80,進行中,高,,false,
id_002,1.1,1,ヒアリング実施,田中,2026-04-01,2026-04-07,100,完了,高,,false,顧客3社へのヒアリング完了
id_003,1.2,1,要件書作成,田中,2026-04-08,2026-04-15,70,進行中,高,id_002,false,V1.0作成中
id_004,1.3,1,要件レビュー,佐藤,2026-04-16,2026-04-18,0,未着手,中,id_003,false,
id_005,1.4,1,要件確定,田中,2026-04-18,2026-04-18,0,未着手,高,id_004,true,マイルストーン
id_006,2,0,基本設計,佐藤,2026-04-21,2026-05-09,0,未着手,高,id_005,false,
id_007,2.1,1,画面設計,鈴木,2026-04-21,2026-04-30,0,未着手,高,,false,
id_008,2.2,1,DB設計,佐藤,2026-04-21,2026-05-02,0,未着手,高,,false,
id_009,2.3,1,API設計,山田,2026-04-28,2026-05-09,0,未着手,中,id_007,false,
id_010,2.4,1,設計レビュー,佐藤,2026-05-07,2026-05-09,0,未着手,高,"id_007,id_008,id_009",false,
id_011,3,0,詳細設計,鈴木,2026-05-12,2026-05-30,0,未着手,高,id_010,false,
id_012,3.1,1,画面詳細設計,鈴木,2026-05-12,2026-05-23,0,未着手,中,,false,
id_013,3.2,1,処理フロー設計,山田,2026-05-12,2026-05-23,0,未着手,中,,false,
id_014,3.3,1,テスト計画策定,高橋,2026-05-19,2026-05-30,0,未着手,中,,false,
id_015,4,0,実装,山田,2026-06-01,2026-07-10,0,未着手,高,id_011,false,
id_016,4.1,1,フロントエンド開発,鈴木,2026-06-01,2026-06-27,0,未着手,高,,false,
id_017,4.2,1,バックエンド開発,山田,2026-06-01,2026-07-04,0,未着手,高,,false,
id_018,4.3,1,結合テスト,高橋,2026-07-07,2026-07-10,0,未着手,高,"id_016,id_017",false,
id_019,5,0,テスト・リリース,高橋,2026-07-13,2026-07-31,0,未着手,高,id_018,false,
id_020,5.1,1,システムテスト,高橋,2026-07-13,2026-07-24,0,未着手,高,,false,
id_021,5.2,1,受入テスト,田中,2026-07-27,2026-07-31,0,未着手,高,id_020,false,
id_022,5.3,1,本番リリース,山田,2026-07-31,2026-07-31,0,未着手,高,id_021,true,マイルストーン
